Timestamp,What year are you?,What is your major,What is your primary post-grad goal?,How many courses have you taken over your past 3 on terms at Dartmouth?,"Of those, how many would you call ""layups"" — courses known for high medians or low effort?",How would you describe your typical course-selection strategy?,Have you ever dropped or avoided a course primarily to protect your GPA?, How important is your GPA for your intended career path?,Does Dartmouth's grading environment push students toward easier courses?," If grade medians were eliminated, how would your course-selection behavior change?"
5/7/2026 13:27:53,28,Mathematics,Tech/engineering,9,1,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Neutral,Would not change
5/10/2026 11:30:06,27,"Economics modified with Computer Science, German Studies",Finance/consulting,9,5,"I lean toward expected grade, with interest as a secondary factor.",Never,Very important,Strongly yes,It would not change.
5/10/2026 11:30:28,29,Economics ,Finance/consulting,9,2,I choose almost entirely based on expected grade / GPA protection.,"Yes, once or twice",Very important,Strongly yes,I would take more interesting classes that benefit my learning rather than learning useless information to proText my GPAF
5/10/2026 11:30:53,27,Gov and Econ double major,Finance/consulting,9,2,"I choose based on genuine interest, regardless of expected grade.",Never,Moderately important,Somewhat yes,I wouldn’t
5/10/2026 11:32:18,28,Computer Science,Finance/consulting,9,4,"I lean toward expected grade, with interest as a secondary factor.","Yes, once or twice",Very important,Somewhat yes,"If there were no enforced medians (or they were higher than B+), I’d be less afraid to take classes in Econ and Gov. With medians eliminated entirely, I’d probably start relying on course evaluations to get a sense of how difficult the class is and what my expected grade would be  "
5/10/2026 11:32:33,27,Math mod Econ,Finance/consulting,9,1,"I choose based on genuine interest, regardless of expected grade.","Yes, once or twice",Slightly important,Somewhat no,Not much
5/10/2026 11:39:29,29,Computer Science & Math,Finance/consulting,9,2,I balance interest and expected grade roughly equally.,Never,Extremely important,Somewhat no,Probably would not change.
5/10/2026 11:40:02,29,Economics ,Finance/consulting,10,3,I balance interest and expected grade roughly equally.,Never,Very important,Strongly yes,
5/10/2026 11:42:31,29,Math,Finance/consulting,9,2,I balance interest and expected grade roughly equally.,"Yes, once or twice",Very important,Somewhat yes,"I would be more inclined to take those classes as currently I don’t need them for my major, so I have no reason to risk getting a bad grade"
5/10/2026 11:43:35,28,Economics ,Finance/consulting,9,6,"I lean toward expected grade, with interest as a secondary factor.","Yes, once or twice",Very important,Somewhat no,Would probably take more classes that are of my interest
5/10/2026 11:44:50,28,Economics,Finance/consulting,8,3,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Somewhat yes,"It wouldn't, I would just be happier"
5/10/2026 12:04:57,27,Engineering + Physics,Graduate/ PhD program,9,0,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Somewhat yes,No change. In general I think medians help adjust GPA across major
5/10/2026 12:41:42,26,Math mod econ,Graduate/ PhD program,9,2,I balance interest and expected grade roughly equally.,"Yes, multiple times",Moderately important,Somewhat yes,Would take more GOVT courses.
5/10/2026 12:56:57,29,PPE,Finance/consulting,10,6,,"Yes, once or twice",Very important,Strongly yes,I would take a lot more courses I am interested in but currently avoiding because I have to protect my GPA right now
5/10/2026 13:00:21,29,CS,Tech/engineering,9,2,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Neutral,Probably wouldn’t 
5/10/2026 13:18:31,29,Economics,Undecided/other,9,1,I balance interest and expected grade roughly equally.,Never,Very important,Neutral,
5/10/2026 13:28:57,28,Government,Finance/consulting,8,2,"I choose based on genuine interest, regardless of expected grade.",Never,Not important at all,Somewhat yes,would not change behavior but would make me happy
5/10/2026 13:38:55,29,Economics,Finance/consulting,9,1,"I choose based on genuine interest, regardless of expected grade.",Never,Extremely important,Somewhat yes,"Not as a freshman, I have limited freedom with langauge, seminar, and prereqs anyways"
5/10/2026 13:52:33,28,QSS,Finance/consulting,9,3,I balance interest and expected grade roughly equally.,"Yes, once or twice",Extremely important,Somewhat yes,
5/10/2026 13:56:06,26,Economics,Finance/consulting,9,4,I balance interest and expected grade roughly equally.,"Yes, once or twice",Moderately important,Neutral,
5/10/2026 14:16:36,27,Mathematics,Finance/consulting,9,3,I balance interest and expected grade roughly equally.,Never,Slightly important,Somewhat yes,
5/10/2026 14:47:31,28,Earth Sciences,Graduate/ PhD program,9,2,"I choose based on genuine interest, regardless of expected grade.",Never,Slightly important,Somewhat yes,It would probably stay about the same. I tend to choose courses based on interest and major/minor requirements before layups
5/10/2026 14:54:56,28,Biology,Undecided/other,9,3,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Somewhat yes,It would not.
5/10/2026 15:17:37,28,Econ,Undecided/other,9,0,"I choose based on genuine interest, regardless of expected grade.","Yes, once or twice",Moderately important,Somewhat no,Medians should be enforced on all classes to reduce incentive to pick uninteresting classes.
5/10/2026 15:19:57,29,Econ,Finance/consulting,9,2,I balance interest and expected grade roughly equally.,"Yes, once or twice",Very important,Somewhat no,I would likely take more classes that I have genuine interest in
5/10/2026 15:40:31,26,QSS,Government/ nonprofit,7,1,I balance interest and expected grade roughly equally.,"Yes, multiple times",Moderately important,Somewhat yes,"I would take more classes for genuine interest, but also might not try as hard at times."
5/10/2026 16:12:16,28,Engineering and economics ,Finance/consulting,9,3,"I choose based on genuine interest, regardless of expected grade.",Never,Slightly important,Neutral,"Not at all. I’m a sigma and I take classes, classes don’t take me"
5/10/2026 16:12:56,28,Gov,Government/ nonprofit,9,2,"I choose based on genuine interest, regardless of expected grade.","Yes, once or twice",Very important,Neutral,Would likely have to choose easier classes/ would pivot away from harder classes
5/10/2026 16:14:29,28,ENVS,Undecided/other,8,2,I balance interest and expected grade roughly equally.,"Yes, once or twice",Moderately important,Somewhat yes,I would take more classes based on interest instead of having to account for the median consciously or subconsciously.
5/10/2026 16:15:04,28,Engineering,Tech/engineering,9,0,"I choose based on genuine interest, regardless of expected grade.",Never,Slightly important,Somewhat yes,"My course selection wouldn’t change but I believe others would. I think the median is useful in understanding how one does compared to others in the class, just so you know if you are succeeding to a degree expected of the course, and nothing else. "
5/10/2026 16:16:25,28,PPE & Film,Undecided/other,9,2,I balance interest and expected grade roughly equally.,Never,Moderately important,Somewhat yes,People would be less scared of enforced median classes 
5/10/2026 16:16:46,28,Religion ,Government/ nonprofit,9,3,I balance interest and expected grade roughly equally.,"Yes, multiple times",Extremely important,Strongly yes,I probably would take more gov classes
5/10/2026 16:20:10,28,Biology,Pre-med,9,0,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Strongly yes,It would not change. I don’t take classes for GPA protection
5/10/2026 16:32:39,28,Engineering Sciences,Tech/engineering,9,2,I balance interest and expected grade roughly equally.,Never,Slightly important,Strongly no,"If grade medians were eliminated, this might push me away from selecting hard courses, because as it stands, if I get a B+ and the published median is a B+, it looks much better than no published median and a B+. I think getting rid of the published medians would dissuade me from taking challenging classes. If this question is about enforced medians, this does not apply to me as none of the classes in my major have enforced medians."
5/10/2026 16:38:33,27,QSS w Econ,Finance/consulting,9,3,"I lean toward expected grade, with interest as a secondary factor.","Yes, once or twice",Very important,Somewhat yes,"Not by much, maybe if medians were lower across the board I would choose classes that aligned with my interests more"
5/10/2026 17:17:50,27,Biochem ,Pre-med,10,2,"I choose based on genuine interest, regardless of expected grade.",Never,Extremely important,Somewhat yes,I'd take more interesting classes
5/10/2026 18:14:36,29,Economics mod history,Finance/consulting,9,7,"I lean toward expected grade, with interest as a secondary factor.",Never,Extremely important,Strongly yes,I would choose courses based on what I am interested in studying rather than maximizing my GPA.
5/10/2026 18:49:35,27,History & COGS,Finance/consulting,11,4,"I lean toward expected grade, with interest as a secondary factor.","Yes, multiple times",Extremely important,Somewhat no,Towards more topically-interesting courses
5/11/2026 10:29:57,29,Econ,Finance/consulting,9,4,I balance interest and expected grade roughly equally.,Never,Moderately important,Somewhat yes,id take what im interested in
5/13/2026 9:15:33,26,Economics,Finance/consulting,9,2,"I choose based on genuine interest, regardless of expected grade.",Never,Moderately important,Somewhat yes,I would probably do the same thing
5/13/2026 12:59:49,27,ECon,Finance/consulting,10,3,I balance interest and expected grade roughly equally.,"Yes, multiple times",Very important,Strongly yes,
5/13/2026 14:10:37,27,Computer Science,Tech/engineering,11,6,I balance interest and expected grade roughly equally.,Never,Moderately important,Somewhat yes,
5/17/2026 18:44:54,26,Engineering Sciences,Tech/engineering,9,2,I balance interest and expected grade roughly equally.,"Yes, once or twice",Very important,Somewhat yes,Yes
5/17/2026 19:59:56,26,govt mod phil,Government/ nonprofit,9,3,"I choose based on genuine interest, regardless of expected grade.","Yes, once or twice",Very important,Somewhat yes,i would get to have more fun and be less intimidated by the pretentious people in my gov classes 
5/17/2026 21:04:03,27,ENGS ,Undecided/other,10,1,"I choose based on genuine interest, regardless of expected grade.",Never,Very important,Somewhat yes,
5/17/2026 22:37:57,28,CS + Math,Tech/engineering,9,3,"I lean toward expected grade, with interest as a secondary factor.","Yes, once or twice",Moderately important,Strongly yes,"I would be less likely to drop a course I’m interested in based on grade, and I’d pick courses based on interest more than the median grade. "
5/18/2026 11:31:50,27,Computer Science ,Tech/engineering,10,2,"I choose based on genuine interest, regardless of expected grade.","Yes, once or twice",Very important,Somewhat yes,
5/18/2026 21:41:22,28,Anthropology,Undecided/other,7,5,"I choose based on genuine interest, regardless of expected grade.","Yes, multiple times",Moderately important,Somewhat yes,"I don't think it would change that much, but I may be overall more likely to branch out into subjects I may otherwise be too scared to try without any experience because of their low medians (like engines, physics, econ, etc)"
5/18/2026 21:43:53,28,Biology,Pre-med,10,3,I balance interest and expected grade roughly equally.,Never,Very important,Strongly yes,Probably not much because I’d still want to achieve a high grade
5/20/2026 10:08:30,27,CS,Tech/engineering,9,5,I balance interest and expected grade roughly equally.,"Yes, once or twice",Moderately important,Neutral,
5/20/2026 12:37:02,27,QSS,Finance/consulting,9,4,I balance interest and expected grade roughly equally.,"Yes, once or twice",Very important,Somewhat yes,No Change in Course Selection Behavior
